file,dir,iri,method
patterns-repository/ContentOPs/time.owl,patterns-repository/ContentOPs,http://ecareathome-ontology.mpi.aass.oru.se/patterns/time.owl,owl:Ontology IRI/rdf:about
patterns-repository/ContentOPs/time.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/time.owl,xml:base
patterns-repository/ContentOPs/time.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/time.owl,xmlns (default namespace)
patterns-repository/ContextualizedWinstonPartWhole/ContextualizedWinstonPartWhole.owl,patterns-repository/ContextualizedWinstonPartWhole,http://daselab.org/ContextualizedWinstonPartWhole,owl:Ontology IRI/rdf:about
patterns-repository/ContextualizedWinstonPartWhole/ContextualizedWinstonPartWhole.owl,patterns-repository/ContextualizedWinstonPartWhole,http://daselab.org/ContextualizedWinstonPartWhole,xml:base
patterns-repository/ContextualizedWinstonPartWhole/ContextualizedWinstonPartWhole.owl,patterns-repository/ContextualizedWinstonPartWhole,http://daselab.org/ContextualizedWinstonPartWhole,xmlns (default namespace)
patterns-repository/Controlflow/controlflow.owl,patterns-repository/Controlflow,http://www.ontologydesignpatterns.org/cp/owl/controlflow.owl,owl:Ontology IRI/rdf:about
patterns-repository/Controlflow/controlflow.owl,patterns-repository/Controlflow,http://www.ontologydesignpatterns.org/cp/owl/controlflow.owl,xml:base
patterns-repository/Controlflow/controlflow.owl,patterns-repository/Controlflow,http://www.ontologydesignpatterns.org/cp/owl/controlflow.owl,xmlns (default namespace)
patterns-repository/CountingAs/countingas.owl,patterns-repository/CountingAs,http://www.ontologydesignpatterns.org/cp/owl/countingas.owl,owl:Ontology IRI/rdf:about
patterns-repository/CountingAs/countingas.owl,patterns-repository/CountingAs,http://www.ontologydesignpatterns.org/cp/owl/countingas.owl,xml:base
patterns-repository/CountingAs/countingas.owl,patterns-repository/CountingAs,http://www.ontologydesignpatterns.org/cp/owl/countingas.owl,xmlns (default namespace)
patterns-repository/Description/description.owl,patterns-repository/Description,http://www.ontologydesignpatterns.org/cp/owl/description.owl,owl:Ontology IRI/rdf:about
patterns-repository/Description/description.owl,patterns-repository/Description,http://www.ontologydesignpatterns.org/cp/owl/description.owl,xml:base
patterns-repository/Description/description.owl,patterns-repository/Description,http://www.ontologydesignpatterns.org/cp/owl/description.owl,xmlns (default namespace)
patterns-repository/DescriptionAndSituation/DUL.owl,patterns-repository/DescriptionAndSituation,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,owl:Ontology IRI/rdf:about
patterns-repository/DescriptionAndSituation/DUL.owl,patterns-repository/DescriptionAndSituation,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xml:base
patterns-repository/DescriptionAndSituation/DUL.owl,patterns-repository/DescriptionAndSituation,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xmlns (default namespace)
patterns-repository/DescriptionAndSituation/descriptionandsituation.owl,patterns-repository/DescriptionAndSituation,http://www.ontologydesignpatterns.org/cp/owl/descriptionandsituation.owl,owl:Ontology IRI/rdf:about
patterns-repository/DescriptionAndSituation/descriptionandsituation.owl,patterns-repository/DescriptionAndSituation,http://www.ontologydesignpatterns.org/cp/owl/descriptionandsituation.owl,xml:base
patterns-repository/DescriptionAndSituation/descriptionandsituation.owl,patterns-repository/DescriptionAndSituation,http://www.ontologydesignpatterns.org/cp/owl/descriptionandsituation.owl,xmlns (default namespace)
patterns-repository/DetectorFinalState/dectectorfinalstate.owl,patterns-repository/DetectorFinalState,http://purl.org/net/detectorfinalstate/,owl:Ontology IRI/rdf:about
patterns-repository/DetectorFinalState/dectectorfinalstate.owl,patterns-repository/DetectorFinalState,http://purl.org/net/detectorfinalstate/,xml:base
patterns-repository/DetectorFinalState/dectectorfinalstate.owl,patterns-repository/DetectorFinalState,http://purl.org/net/detectorfinalstate/,xmlns (default namespace)
patterns-repository/DigitalVideo/DigitalVideo_ODP.owl,patterns-repository/DigitalVideo,http://mklab.iti.gr/pericles/DigitalVideo_ODP,owl:Ontology IRI/rdf:about
patterns-repository/DigitalVideo/DigitalVideo_ODP.owl,patterns-repository/DigitalVideo,http://www.semanticweb.org/pmitzias/ontologies/2015/5/untitled-ontology-17,xml:base
patterns-repository/DigitalVideo/DigitalVideo_ODP.owl,patterns-repository/DigitalVideo,http://www.semanticweb.org/pmitzias/ontologies/2015/5/untitled-ontology-17,xmlns (default namespace)
patterns-repository/EEP/DUL.owl,patterns-repository/EEP,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,owl:Ontology IRI/rdf:about
patterns-repository/EEP/DUL.owl,patterns-repository/EEP,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xml:base
patterns-repository/EEP/DUL.owl,patterns-repository/EEP,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xmlns (default namespace)
patterns-repository/EthnicGroup/EthnicGroup.owl,patterns-repository/EthnicGroup,http://www.ontologydesignpatterns.org/ekp/owl/EthnicGroup.owl,xmlns (default namespace)
patterns-repository/EthnicGroup/EthnicGroup.owl,patterns-repository/EthnicGroup,http://www.ontologydesignpatterns.org/ekp/owl/EthnicGroup.owl,xmlns:base (namespace)
patterns-repository/EventCore/event.owl,patterns-repository/EventCore,http://w3id.org/daselab/onto/event,owl:Ontology IRI/rdf:about
patterns-repository/EventCore/event.owl,patterns-repository/EventCore,http://w3id.org/daselab/onto/event,xml:base
patterns-repository/EventCore/event.owl,patterns-repository/EventCore,http://w3id.org/daselab/onto/event,xmlns (default namespace)
patterns-repository/EventProcessing/eventexample.owl,patterns-repository/EventProcessing,http://www.ontologydesignpatterns.org/cp/examples/eventprocessing/eventexample,xml:base
patterns-repository/EventProcessing/eventexample.owl,patterns-repository/EventProcessing,http://www.ontologydesignpatterns.org/cp/examples/eventprocessing/eventexample,xmlns (default namespace)
patterns-repository/EventProcessing/eventprocessing.owl,patterns-repository/EventProcessing,http://www.ontologydesignpatterns.org/cp/owl/eventprocessing.owl,xml:base
patterns-repository/EventProcessing/eventprocessing.owl,patterns-repository/EventProcessing,http://www.ontologydesignpatterns.org/cp/owl/eventprocessing.owl,xmlns (default namespace)
patterns-repository/Experience_&_Observation/cp_experience.owl,patterns-repository/Experience_&_Observation,http://modellingdh.github.io/ont/odp/experience,OWL/XML ontologyIRI
patterns-repository/Experience_&_Observation/cp_experience.owl,patterns-repository/Experience_&_Observation,http://modellingdh.github.io/ont/odp/experience,xml:base
patterns-repository/Experience_&_Observation/cp_experience.owl,patterns-repository/Experience_&_Observation,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/Experience_&_Observation/data-model-v2.owl,patterns-repository/Experience_&_Observation,http://readit-project.eu/ont/datamodel,OWL/XML ontologyIRI
patterns-repository/Experience_&_Observation/data-model-v2.owl,patterns-repository/Experience_&_Observation,http://readit-project.eu/ont/datamodel,xml:base
patterns-repository/Experience_&_Observation/data-model-v2.owl,patterns-repository/Experience_&_Observation,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/Food_Recipe_Ingredient_Substitution_ODP/food_recipe_ingredient_substitute_ODP.owl,patterns-repository/Food_Recipe_Ingredient_Substitution_ODP,http://semantic.cs.put.poznan.pl/ontologies/food_ingredient_substitutes,owl:Ontology IRI/rdf:about
